,Epoch,Loss Type,Loss Value
187,0.596825397,D_loss,0.8697
6338,0.596825397,G_loss,1.3572
188,0.6,D_loss,1.0772
6339,0.6,G_loss,1.053
189,0.603174603,D_loss,1.418
6340,0.603174603,G_loss,0.7479
190,0.606349206,D_loss,0.5992
6341,0.606349206,G_loss,2.5109
191,0.60952381,D_loss,0.958
6342,0.60952381,G_loss,1.4083
192,0.612698413,D_loss,0.966
6343,0.612698413,G_loss,0.898
193,0.615873016,D_loss,1.435
6344,0.615873016,G_loss,1.4917
194,0.619047619,D_loss,0.6093
6345,0.619047619,G_loss,2.0997
195,0.622222222,D_loss,1.1091
6346,0.622222222,G_loss,1.6479
196,0.625396825,D_loss,1.0094
6347,0.625396825,G_loss,1.9901
197,0.628571429,D_loss,0.523
6348,0.628571429,G_loss,1.7477
198,0.631746032,D_loss,1.0155
6349,0.631746032,G_loss,1.0284
199,0.634920635,D_loss,0.4734
6350,0.634920635,G_loss,2.6294
200,0.638095238,D_loss,0.7152
6351,0.638095238,G_loss,2.1854
201,0.641269841,D_loss,1.2112
6352,0.641269841,G_loss,0.4204
202,0.644444444,D_loss,0.8114
6353,0.644444444,G_loss,2.212
203,0.647619048,D_loss,0.8302
6354,0.647619048,G_loss,2.2633
204,0.650793651,D_loss,0.638
6355,0.650793651,G_loss,1.6472
205,0.653968254,D_loss,0.6521
6356,0.653968254,G_loss,1.6202
206,0.657142857,D_loss,0.5579
6357,0.657142857,G_loss,2.0002
207,0.66031746,D_loss,0.8411
6358,0.66031746,G_loss,2.4661
208,0.663492063,D_loss,0.5624
6359,0.663492063,G_loss,2.5792
209,0.666666667,D_loss,0.5365
6360,0.666666667,G_loss,2.1144
210,0.66984127,D_loss,0.4538
6361,0.66984127,G_loss,2.5899
211,0.673015873,D_loss,0.8722
6362,0.673015873,G_loss,2.4985
212,0.676190476,D_loss,1.1191
6363,0.676190476,G_loss,0.892
213,0.679365079,D_loss,0.3429
6364,0.679365079,G_loss,3.016
214,0.682539683,D_loss,0.9366
6365,0.682539683,G_loss,2.2911
215,0.685714286,D_loss,0.7842
6366,0.685714286,G_loss,1.68
216,0.688888889,D_loss,0.7519
6367,0.688888889,G_loss,1.5841
217,0.692063492,D_loss,0.3131
6368,0.692063492,G_loss,3.0094
218,0.695238095,D_loss,0.8554
6369,0.695238095,G_loss,2.4437
219,0.698412698,D_loss,0.57
6370,0.698412698,G_loss,1.7723
220,0.701587302,D_loss,0.7067
6371,0.701587302,G_loss,2.7411
221,0.704761905,D_loss,0.8897
6372,0.704761905,G_loss,2.3838
222,0.707936508,D_loss,0.8839
6373,0.707936508,G_loss,3.3419
223,0.711111111,D_loss,1.3517
6374,0.711111111,G_loss,0.8634
224,0.714285714,D_loss,0.8709
6375,0.714285714,G_loss,1.9214
225,0.717460317,D_loss,1.019
6376,0.717460317,G_loss,1.4883
226,0.720634921,D_loss,0.7294
6377,0.720634921,G_loss,1.6673
227,0.723809524,D_loss,0.6929
6378,0.723809524,G_loss,2.9296
228,0.726984127,D_loss,0.4613
6379,0.726984127,G_loss,2.6314
229,0.73015873,D_loss,0.7065
6380,0.73015873,G_loss,2.1
230,0.733333333,D_loss,0.5086
6381,0.733333333,G_loss,1.8191
231,0.736507937,D_loss,1.0792
6382,0.736507937,G_loss,2.4424
232,0.73968254,D_loss,0.5031
6383,0.73968254,G_loss,2.0484
233,0.742857143,D_loss,0.5992
6384,0.742857143,G_loss,2.0383
234,0.746031746,D_loss,0.4627
6385,0.746031746,G_loss,2.913
235,0.749206349,D_loss,0.436
6386,0.749206349,G_loss,2.4266
236,0.752380952,D_loss,0.7578
6387,0.752380952,G_loss,2.9066
237,0.755555556,D_loss,0.356
6388,0.755555556,G_loss,3.781
238,0.758730159,D_loss,1.2496
6389,0.758730159,G_loss,3.1594
239,0.761904762,D_loss,1.0658
6390,0.761904762,G_loss,2.264
240,0.765079365,D_loss,1.0285
6391,0.765079365,G_loss,3.4614
241,0.768253968,D_loss,0.9594
6392,0.768253968,G_loss,2.1275
242,0.771428571,D_loss,0.5401
6393,0.771428571,G_loss,2.4013
243,0.774603175,D_loss,0.6495
6394,0.774603175,G_loss,2.0071
244,0.777777778,D_loss,0.7424
6395,0.777777778,G_loss,2.0632
245,0.780952381,D_loss,0.4868
6396,0.780952381,G_loss,2.085
246,0.784126984,D_loss,0.7562
6397,0.784126984,G_loss,2.2157
247,0.787301587,D_loss,0.6471
6398,0.787301587,G_loss,2.8541
248,0.79047619,D_loss,0.5731
6399,0.79047619,G_loss,2.0715
249,0.793650794,D_loss,1.2259
6400,0.793650794,G_loss,2.0205
250,0.796825397,D_loss,0.6826
6401,0.796825397,G_loss,2.2852
251,0.8,D_loss,0.7484
6402,0.8,G_loss,2.3114
252,0.803174603,D_loss,1.1845
6403,0.803174603,G_loss,3.5349
253,0.806349206,D_loss,0.7684
6404,0.806349206,G_loss,2.9158
254,0.80952381,D_loss,0.6801
6405,0.80952381,G_loss,2.4428
255,0.812698413,D_loss,0.9859
6406,0.812698413,G_loss,1.591
256,0.815873016,D_loss,1.0117
6407,0.815873016,G_loss,2.0014
257,0.819047619,D_loss,0.4488
6408,0.819047619,G_loss,2.4435
258,0.822222222,D_loss,0.7119
6409,0.822222222,G_loss,1.9349
259,0.825396825,D_loss,0.6174
6410,0.825396825,G_loss,2.6921
260,0.828571429,D_loss,0.6392
6411,0.828571429,G_loss,1.7761
261,0.831746032,D_loss,0.6678
6412,0.831746032,G_loss,2.5522
262,0.834920635,D_loss,0.4458
6413,0.834920635,G_loss,1.9387
263,0.838095238,D_loss,0.7107
6414,0.838095238,G_loss,3.1638
264,0.841269841,D_loss,0.8782
6415,0.841269841,G_loss,1.8509
265,0.844444444,D_loss,0.2862
6416,0.844444444,G_loss,3.2203
266,0.847619048,D_loss,0.3756
6417,0.847619048,G_loss,2.1749
267,0.850793651,D_loss,1.5354
6418,0.850793651,G_loss,1.1846
268,0.853968254,D_loss,0.3084
6419,0.853968254,G_loss,3.154
269,0.857142857,D_loss,0.3473
6420,0.857142857,G_loss,3.3176
270,0.86031746,D_loss,1.4518
6421,0.86031746,G_loss,1.587
271,0.863492063,D_loss,1.2662
6422,0.863492063,G_loss,1.0498
272,0.866666667,D_loss,1.1046
6423,0.866666667,G_loss,1.4245
273,0.86984127,D_loss,0.9833
6424,0.86984127,G_loss,1.0512
274,0.873015873,D_loss,1.0765
6425,0.873015873,G_loss,1.1786
275,0.876190476,D_loss,0.6119
6426,0.876190476,G_loss,1.9775
276,0.879365079,D_loss,0.9176
6427,0.879365079,G_loss,1.8859
277,0.882539683,D_loss,0.3865
6428,0.882539683,G_loss,2.945
278,0.885714286,D_loss,0.8797
6429,0.885714286,G_loss,3.0711
279,0.888888889,D_loss,0.8926
6430,0.888888889,G_loss,1.6633
280,0.892063492,D_loss,0.7273
6431,0.892063492,G_loss,3.2148
281,0.895238095,D_loss,0.8567
6432,0.895238095,G_loss,1.3533
282,0.898412698,D_loss,0.8146
